IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
81724;2014-12-23;Libro: Vicente Huidobro "En la Constelaciòn Cantante de las Aguas y tarjeta de Navidad";Saludo de Navidad;Aguas Andinas;;;POLICÍA DE INVESTIGACIONES DE CHILE;AD010;468
81746;2014-12-19;Libro de poesía;Fiesta Navideña;AGUAS ANDINAS;;;SUBSECRETARÍA DE AGRICULTURA;AR001;203
81715;2014-12-22;Libro "Vicente Huidobro en la contelacion cantante de las aguas";Obsequio de Fin de Año;Aguas Andinas;;;SUBSECRETARÍA DE ECONOMÍA;AH001;346
81744;2014-12-17;libro "García Huidobro";Navidad 2014;Aguas Andinas;;;SUBSECRETARÍA DE MINERÍA;AS001;430
81810;2014-12-19;LIBRO;FIESTA DE FIN DE AÑO;AGUAS ANDINAS;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;198
81775;2014-12-18;1 libro, Vicente Huidobro;Navidad 2014;Aguas Andinas;;;SUBSECRETARÍA DEL INTERIOR;AB001;155
81749;2014-12-22;Libro " Vicente Huidobro";Obsequio directamente a Gabinete del Ministro ;Aguas Andinas;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;498
81719;2014-12-17;libro "Vicente Huidobro";Saludo de Navidad. Ministra dona a Fundación Paternitas;Aguas Andinas;;;SUBSECRETARÍA DEL TRABAJO;AL001;328
81689;2014-12-18;Libro en Homenaje a Vicente Huidobro;Navidad;Aguas Andinas;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;201
81727;2014-12-17;Libro Vicente Huidobro en la Constelación Cantante de las Aguas - Publicación de Aguas Andinas y tarjeta navideña;Regalo Navidad;Aguas Andinas;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;126
